City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,makakilo city,21.3469,-158.0858,25.87,77,100,2.57,US,1675469430
187,kendari,-3.945,122.4989,23.5,94,100,0.41,ID,1675469430
188,alice springs,-23.7,133.8833,19.75,45,0,6.69,AU,1675469431
189,provideniya,64.3833,-173.3,-21.7,89,58,5.37,RU,1675469432
190,saint george,37.1041,-113.5841,14.13,35,0,2.06,US,1675469389
191,morant bay,17.8815,-76.4093,24.84,81,28,3.35,JM,1675469432
192,longyearbyen,78.2186,15.6401,-15.09,61,0,5.14,SJ,1675469434
193,aras,42.5617,-2.356,2.23,75,0,6.17,ES,1675469434
194,sedalia,38.7045,-93.2283,-1.05,29,0,3.6,US,1675469418
195,clyde river,70.4692,-68.5914,-31.16,96,73,2.24,CA,1675469434
196,marabba,12.35,32.1833,21.44,16,19,6.59,SD,1675469435
197,bethel,41.3712,-73.414,-11.25,40,40,9.26,US,1675469435
198,maues,-3.3836,-57.7186,23.87,92,68,1.26,BR,1675469436
199,kaohsiung,22.6163,120.3133,16.97,88,75,3.6,TW,1675469288
200,verkh-usugli,52.7,115.1667,-26.86,99,34,1.24,RU,1675469437
201,acapulco,16.8634,-99.8901,28.9,70,0,3.09,MX,1675469312
202,tromso,69.6496,18.957,-3.99,80,100,9.77,NO,1675469328
203,mayumba,-3.432,10.6554,26.14,87,74,3.19,GA,1675469437
204,kudahuvadhoo,2.6708,72.8944,26.28,70,96,5.27,MV,1675469438
205,smithers,54.7804,-127.1743,2.39,98,100,1.0,CA,1675469438
206,kahului,20.8947,-156.47,27.01,70,75,7.2,US,1675469235
207,taoudenni,22.6783,-3.9836,14.65,25,100,4.37,ML,1675469438
208,okhotsk,59.3833,143.3,-25.09,84,32,5.48,RU,1675469438
209,cherskiy,68.75,161.3,-31.19,100,96,0.17,RU,1675469439
210,lunglei,22.8833,92.7333,7.83,46,99,1.74,IN,1675469439
211,iqaluit,63.7506,-68.5145,-35.17,66,90,5.36,CA,1675469440
212,camana,-16.6228,-72.7111,24.31,79,51,1.49,PE,1675469440
213,newport,51.5877,-2.9984,8.71,93,6,3.1,GB,1675469205
214,yulara,-25.2406,130.9889,21.47,35,0,6.76,AU,1675469441
215,nishihara,26.1842,127.7558,16.6,72,100,3.09,JP,1675469441
216,tucuman,-26.8241,-65.2226,22.87,75,100,2.38,AR,1675469441
217,tuktoyaktuk,69.4541,-133.0374,-36.51,99,33,1.53,CA,1675469442
218,half moon bay,37.4636,-122.4286,13.82,93,75,4.12,US,1675469357
219,birin,26.8865,88.0718,8.11,61,4,2.01,NP,1675469442
220,port-gentil,-0.7193,8.7815,27.3,81,50,4.76,GA,1675469443
221,airai,-8.9266,125.4092,17.62,89,100,1.19,TL,1675469443
222,inyonga,-6.7167,32.0667,18.07,88,100,0.85,TZ,1675469443
223,hoquiam,46.9809,-123.8893,9.05,94,100,12.35,US,1675469444
224,lasa,46.6166,10.7002,2.54,95,89,4.28,IT,1675469444
225,moose factory,51.2585,-80.6094,-35.88,97,83,2.33,CA,1675469445
226,montes altos,-5.8333,-47.0667,22.99,93,93,1.63,BR,1675469445
227,klaksvik,62.2266,-6.589,8.51,91,100,10.42,FO,1675469446
228,thompson,55.7435,-97.8558,-20.91,77,100,1.54,CA,1675469446
229,xicotencatl,23.0167,-98.8833,20.66,24,0,5.53,MX,1675469446
230,mozarlandia,-14.7447,-50.5706,24.17,84,48,0.54,BR,1675469447
231,suluq,31.6682,20.2521,11.07,68,53,3.14,LY,1675469447
232,tombouctou,20.0,-3.0,12.69,24,86,5.81,ML,1675469448
233,rudbar,30.15,62.6,14.78,53,19,3.89,AF,1675469448
234,prado,-17.3411,-39.2208,25.33,86,3,4.14,BR,1675469448
235,richards bay,-28.783,32.0377,21.9,94,65,2.53,ZA,1675469299
236,tautira,-17.7333,-149.15,27.24,81,100,8.59,PF,1675469449
237,puerto ayacucho,5.6639,-67.6236,28.87,51,89,1.75,VE,1675469449
238,kurtalan,37.9272,41.7028,1.05,68,100,1.58,TR,1675469449
239,holetown,13.1867,-59.6381,26.31,73,6,7.22,BB,1675469450
240,vanavara,60.34,102.2797,-28.45,100,87,1.17,RU,1675469450
241,banfora,10.6333,-4.7667,26.71,14,5,2.31,BF,1675469450
242,eagle pass,28.7091,-100.4995,17.47,44,0,2.62,US,1675469450
243,vilhena,-12.7406,-60.1458,20.96,94,99,0.76,BR,1675469350
244,port elizabeth,-33.918,25.5701,22.28,95,56,0.89,ZA,1675469451
245,labuhan,-6.8844,112.2051,25.5,88,100,4.37,ID,1675469451
246,jiangyin,31.9282,120.3126,5.55,64,5,1.91,CN,1675469451
247,fare,-16.7,-151.0167,27.52,76,21,6.96,PF,1675469452
248,illapel,-31.6308,-71.1653,23.52,59,24,2.22,CL,1675469171
249,saint-joseph,-21.3667,55.6167,25.21,86,67,4.68,RE,1675469452
250,bataipora,-22.2953,-53.2711,22.01,96,98,2.05,BR,1675469453
251,bengkulu,-3.8004,102.2655,23.9,87,100,2.41,ID,1675469453
252,pilar do sul,-23.8131,-47.7164,20.92,88,97,3.71,BR,1675469273
253,marystown,47.1666,-55.1483,-2.82,84,99,15.62,CA,1675469453
254,takoradi,4.8845,-1.7554,26.55,87,38,3.07,GH,1675469454
255,oranjemund,-28.55,16.4333,16.22,96,10,2.32,NA,1675469454
256,sioux lookout,50.1001,-91.917,-19.32,89,100,3.65,CA,1675469454
257,misratah,32.3754,15.0925,14.57,71,52,4.19,LY,1675469455
258,qaqortoq,60.7167,-46.0333,-14.8,83,50,6.11,GL,1675469455
259,northam,51.0333,-4.2167,9.1,85,45,3.84,GB,1675469455
260,fortuna,40.5982,-124.1573,14.64,71,75,3.6,US,1675469456
261,brusciano,40.9232,14.4239,13.15,74,20,1.54,IT,1675469456
262,de-kastri,51.4667,140.7833,-21.66,92,22,2.06,RU,1675469456
263,gamba,-2.65,10.0,26.05,87,53,2.31,GA,1675469457
264,thaton,16.9206,97.3714,21.87,67,13,1.36,MM,1675469457
265,amapa,1.0,-52.0,22.32,98,97,1.18,BR,1675469457
266,mount gambier,-37.8333,140.7667,16.58,65,69,4.37,AU,1675469457
267,quba,41.3626,48.5152,-1.18,59,99,3.52,AZ,1675469458
268,nalut,30.3333,10.85,10.11,45,4,10.05,LY,1675469458
269,kimbe,-5.5502,150.1429,29.61,69,78,1.49,PG,1675469458
270,kavieng,-2.5744,150.7967,27.68,77,100,2.19,PG,1675469459
271,orange cove,36.6244,-119.3137,19.9,28,75,0.0,US,1675469459
272,vanimo,-2.6741,141.3028,28.73,70,88,1.12,PG,1675469460
273,tamiahua,21.2667,-97.45,17.12,66,17,6.46,MX,1675469381
274,jinka,5.65,36.65,20.36,40,65,0.73,ET,1675469460
275,balykshi,47.0667,51.8667,-1.0,100,100,4.0,KZ,1675469461
276,santa cruz,-17.8,-63.1667,21.7,94,75,2.06,BO,1675469268
277,la carolina,38.2756,-3.6153,5.05,49,0,2.6,ES,1675469462
278,ust-barguzin,53.45,108.9833,-15.19,98,100,1.24,RU,1675469462
279,abha,18.2164,42.5053,11.14,87,40,2.06,SA,1675469463
280,antofagasta,-23.65,-70.4,21.6,87,21,1.65,CL,1675469463
281,moen,69.1304,18.6123,-20.6,84,40,0.0,NO,1675469464
282,dahuk,36.8695,42.994,2.05,69,62,3.07,IQ,1675469464
283,malacacheta,-17.8422,-42.0767,19.67,89,31,1.56,BR,1675469465
284,portland,45.5234,-122.6762,11.45,87,75,5.14,US,1675468823
285,fort nelson,58.8053,-122.7002,-15.03,69,85,0.45,CA,1675469465
286,maceio,-9.6658,-35.7353,26.36,75,65,4.79,BR,1675469287
287,comodoro rivadavia,-45.8667,-67.5,25.81,37,3,3.29,AR,1675469466
288,rock springs,41.5875,-109.2029,-5.31,73,0,2.57,US,1675469467
289,waingapu,-9.6567,120.2641,24.97,88,100,2.87,ID,1675469468
290,cidreira,-30.1811,-50.2056,23.95,87,100,1.83,BR,1675469468
291,broome,42.2506,-75.833,-15.17,72,100,7.72,US,1675469469
292,beroroha,-21.6667,45.1667,22.86,85,49,2.16,MG,1675469469
293,road town,18.4167,-64.6167,25.05,74,1,7.14,VG,1675469342
294,katsuura,35.1333,140.3,6.76,89,100,3.05,JP,1675469470
295,puyang,29.4603,119.8861,5.63,90,100,1.63,CN,1675469470
296,tooele,40.5308,-112.2983,5.51,64,0,0.0,US,1675469471
297,poum,-20.2333,164.0167,28.4,76,35,3.31,NC,1675469471
298,nome,64.5011,-165.4064,-15.47,87,99,2.03,US,1675468879
